coordinate,x,y,overall-no-arctic,arctic
0.581,0.319207,0.277893,0.232069,0.000000
0.582,0.319207,0.277893,0.232069,0.000000
0.583,0.319207,0.277893,0.232069,0.000000
0.584,0.319207,0.277893,0.232069,0.000000
0.585,0.319207,0.277893,0.232069,0.000000
0.586,0.319207,0.276036,0.232069,0.000000
0.587,0.319207,0.276036,0.232069,0.000000
0.588,0.319207,0.276036,0.232069,0.000000
0.589,0.319207,0.276036,0.232069,0.000000
0.590,0.318757,0.276036,0.232069,0.000000
0.591,0.318757,0.276036,0.232069,0.000000
0.592,0.318757,0.276036,0.232069,0.000000
0.593,0.318757,0.276036,0.232069,0.000000
0.594,0.318757,0.276036,0.232069,0.000000
0.595,0.318757,0.276036,0.232069,0.000000
0.596,0.318757,0.276036,0.232069,0.000000
0.597,0.318757,0.276036,0.232069,0.000000
0.598,0.318757,0.276036,0.232069,0.000000
0.599,0.318757,0.276036,0.232069,0.000000
0.600,0.318757,0.273866,0.232069,0.000000
0.601,0.318757,0.273866,0.232069,0.000000
0.602,0.318757,0.273866,0.232069,0.000000
0.603,0.318757,0.273866,0.232069,0.000000
0.604,0.318757,0.273866,0.232069,0.000000
0.605,0.318757,0.273866,0.232069,0.000000
0.606,0.318757,0.273866,0.232069,0.000000
0.607,0.318757,0.273866,0.232069,0.000000
0.608,0.314907,0.273866,0.232069,0.000000
0.609,0.314907,0.273866,0.232069,0.000000
0.610,0.314907,0.273866,0.232069,0.000000
0.611,0.314907,0.273866,0.232069,0.000000
0.612,0.314907,0.273866,0.232069,0.000000
0.613,0.314907,0.273866,0.232069,0.000000
0.614,0.314907,0.273866,0.232069,0.000000
0.615,0.314907,0.271098,0.232069,0.000000
0.616,0.314907,0.271098,0.232069,0.000000
0.617,0.314907,0.271098,0.232069,0.000000
0.618,0.314907,0.271098,0.232069,0.000000
0.619,0.314907,0.271098,0.232069,0.000000
0.620,0.314907,0.271098,0.232069,0.000000
0.621,0.314907,0.271098,0.232069,0.000000
0.622,0.314907,0.271098,0.232069,0.000000
0.623,0.314907,0.271098,0.232069,0.000000
0.624,0.314907,0.271098,0.232069,0.000000
0.625,0.315721,0.271098,0.232069,0.000000
0.626,0.315721,0.271098,0.232069,0.000000
0.627,0.315721,0.271098,0.232069,0.000000
0.628,0.315721,0.271098,0.232069,0.000000
0.629,0.315721,0.272759,0.232069,0.000000
0.630,0.315721,0.272759,0.232069,0.000000
0.631,0.315721,0.272759,0.232069,0.000000
0.632,0.315721,0.272759,0.232069,0.000000
0.633,0.315721,0.272759,0.232069,0.000000
0.634,0.315721,0.272759,0.232069,0.000000
0.635,0.315721,0.272759,0.232069,0.000000
0.636,0.315721,0.272759,0.232069,0.000000
0.637,0.315721,0.272759,0.232069,0.000000
0.638,0.315721,0.272759,0.232069,0.000000
0.639,0.315721,0.272759,0.232069,0.000000
0.640,0.315721,0.272759,0.232069,0.000000
0.641,0.315721,0.272759,0.232069,0.000000
0.642,0.315721,0.272759,0.232069,0.000000
0.643,0.314593,0.273205,0.232069,0.000000
0.644,0.314593,0.273205,0.232069,0.000000
0.645,0.314593,0.273205,0.232069,0.000000
0.646,0.314593,0.273205,0.232069,0.000000
0.647,0.314593,0.273205,0.232069,0.000000
0.648,0.314593,0.273205,0.232069,0.000000
0.649,0.314593,0.273205,0.232069,0.000000
0.650,0.314593,0.273205,0.232069,0.000000
0.651,0.314593,0.273205,0.232069,0.000000
0.652,0.314593,0.273205,0.232069,0.000000
0.653,0.314593,0.273205,0.232069,0.000000
0.654,0.314593,0.273205,0.232069,0.000000
0.655,0.314593,0.273205,0.232069,0.000000
0.656,0.314593,0.273205,0.232069,0.000000
0.657,0.314593,0.273205,0.232069,0.000000
0.658,0.314593,0.272955,0.232069,0.000000
0.659,0.314593,0.272955,0.232069,0.000000
0.660,0.314593,0.272955,0.232069,0.000000
0.661,0.312636,0.272955,0.232069,0.000000
0.662,0.312636,0.272955,0.232069,0.000000
0.663,0.312636,0.272955,0.232069,0.000000
0.664,0.312636,0.272955,0.232069,0.000000
0.665,0.312636,0.272955,0.232069,0.000000
0.666,0.312636,0.272955,0.232069,0.000000
0.667,0.312636,0.272955,0.232069,0.000000
0.668,0.312636,0.272955,0.232069,0.000000
0.669,0.312636,0.272955,0.232069,0.000000
0.670,0.312636,0.272955,0.232069,0.000000
0.671,0.312636,0.272955,0.232069,0.000000
0.672,0.312636,0.274339,0.232069,0.000000
0.673,0.312636,0.274339,0.232069,0.000000
0.674,0.312636,0.274339,0.232069,0.000000
0.675,0.312636,0.274339,0.232069,0.000000
0.676,0.312636,0.274339,0.232069,0.000000
0.677,0.312636,0.274339,0.232069,0.000000
0.678,0.312636,0.274339,0.232069,0.000000
0.679,0.311714,0.274339,0.232069,0.000000
0.680,0.311714,0.274339,0.232069,0.000000
0.681,0.311714,0.274339,0.232069,0.000000
0.682,0.311714,0.274339,0.232069,0.000000
0.683,0.311714,0.274339,0.232069,0.000000
0.684,0.311714,0.274339,0.232069,0.000000
0.685,0.311714,0.274339,0.232069,0.000000
0.686,0.311714,0.276991,0.232069,0.000000
0.687,0.311714,0.276991,0.232069,0.000000
0.688,0.311714,0.276991,0.232069,0.000000
0.689,0.311714,0.276991,0.232069,0.000000
0.690,0.311714,0.276991,0.232069,0.000000
0.691,0.311714,0.276991,0.232069,0.000000
0.692,0.311714,0.276991,0.232069,0.000000
0.693,0.311714,0.276991,0.232069,0.000000
0.694,0.311714,0.276991,0.232069,0.000000
0.695,0.311714,0.276991,0.232069,0.000000
0.696,0.311714,0.276991,0.232069,0.000000
0.697,0.308443,0.276991,0.232069,0.000000
0.698,0.308443,0.276991,0.232069,0.000000
0.699,0.308443,0.276991,0.232069,0.000000
0.700,0.308443,0.275348,0.232069,0.000000
0.701,0.308443,0.275348,0.232069,0.000000
0.702,0.308443,0.275348,0.232069,0.000000
0.703,0.308443,0.275348,0.232069,0.000000
0.704,0.308443,0.275348,0.232069,0.000000
0.705,0.308443,0.275348,0.232069,0.000000
0.706,0.308443,0.275348,0.232069,0.000000
0.707,0.308443,0.275348,0.232069,0.000000
0.708,0.308443,0.275348,0.232069,0.000000
0.709,0.308443,0.275348,0.232069,0.000000
0.710,0.308443,0.275348,0.232069,0.000000
0.711,0.308443,0.275348,0.232069,0.000000
0.712,0.308443,0.275348,0.232069,0.000000
0.713,0.308443,0.275348,0.232069,0.000000
0.714,0.308443,0.275348,0.232069,0.000000
0.715,0.307343,0.273938,0.232069,0.000000
0.716,0.307343,0.273938,0.232069,0.000000
0.717,0.307343,0.273938,0.232069,0.000000
0.718,0.307343,0.273938,0.232069,0.000000
0.719,0.307343,0.273938,0.232069,0.000000
0.720,0.307343,0.273938,0.232069,0.000000
0.721,0.307343,0.273938,0.232069,0.000000
0.722,0.307343,0.273938,0.232069,0.000000
0.723,0.307343,0.273938,0.232069,0.000000
0.724,0.307343,0.273938,0.232069,0.000000
0.725,0.307343,0.273938,0.232069,0.000000
0.726,0.307343,0.273938,0.232069,0.000000
0.727,0.307343,0.273938,0.232069,0.000000
0.728,0.307343,0.273938,0.232069,0.000000
0.729,0.307343,0.270670,0.232069,0.000000
0.730,0.307343,0.270670,0.232069,0.000000
0.731,0.307343,0.270670,0.232069,0.000000
0.732,0.307343,0.270670,0.232069,0.000000
0.733,0.305407,0.270670,0.232069,0.000000
0.734,0.305407,0.270670,0.232069,0.000000
0.735,0.305407,0.270670,0.232069,0.000000
0.736,0.305407,0.270670,0.232069,0.000000
0.737,0.305407,0.270670,0.232069,0.000000
0.738,0.305407,0.270670,0.232069,0.000000
0.739,0.305407,0.270670,0.232069,0.000000
0.740,0.305407,0.270670,0.232069,0.000000
0.741,0.305407,0.270670,0.232069,0.000000
0.742,0.305407,0.270670,0.232069,0.000000
0.743,0.305407,0.267955,0.232069,0.000000
0.744,0.305407,0.267955,0.232069,0.000000
0.745,0.305407,0.267955,0.232069,0.000000
0.746,0.305407,0.267955,0.232069,0.000000
0.747,0.305407,0.267955,0.232069,0.000000
0.748,0.305407,0.267955,0.232069,0.000000
0.749,0.305407,0.267955,0.232069,0.000000
0.750,0.300186,0.267955,0.232069,0.000000
0.751,0.300186,0.267955,0.232069,0.000000
0.752,0.300186,0.267955,0.232069,0.000000
0.753,0.300186,0.267955,0.232069,0.000000
0.754,0.300186,0.267955,0.232069,0.000000
0.755,0.300186,0.267955,0.232069,0.000000
0.756,0.300186,0.267955,0.232069,0.000000
0.757,0.300186,0.267955,0.232069,0.000000
0.758,0.300186,0.269125,0.232069,0.000000
0.759,0.300186,0.269125,0.232069,0.000000
0.760,0.300186,0.269125,0.232069,0.000000
0.761,0.300186,0.269125,0.232069,0.000000
0.762,0.300186,0.269125,0.232069,0.000000
0.763,0.300186,0.269125,0.232069,0.000000
0.764,0.300186,0.269125,0.232069,0.000000
0.765,0.300186,0.269125,0.232069,0.000000
0.766,0.300186,0.269125,0.232069,0.000000
0.767,0.300186,0.269125,0.232069,0.000000
0.768,0.291171,0.269125,0.232069,0.000000
0.769,0.291171,0.269125,0.232069,0.000000
0.770,0.291171,0.269125,0.232069,0.000000
0.771,0.291171,0.269125,0.232069,0.000000
0.772,0.291171,0.269705,0.232069,0.000000
0.773,0.291171,0.269705,0.232069,0.000000
0.774,0.291171,0.269705,0.232069,0.000000
0.775,0.291171,0.269705,0.232069,0.000000
0.776,0.291171,0.269705,0.232069,0.000000
0.777,0.291171,0.269705,0.232069,0.000000
0.778,0.291171,0.269705,0.232069,0.000000
0.779,0.291171,0.269705,0.232069,0.000000
0.780,0.291171,0.269705,0.232069,0.000000
0.781,0.291171,0.269705,0.232069,0.000000
0.782,0.291171,0.269705,0.232069,0.000000
0.783,0.291171,0.269705,0.232069,0.000000
0.784,0.291171,0.269705,0.232069,0.000000
0.785,0.291171,0.269705,0.232069,0.000000
0.786,0.279529,0.268357,0.232069,0.000000
0.787,0.279529,0.268357,0.232069,0.000000
0.788,0.279529,0.268357,0.232069,0.000000
0.789,0.279529,0.268357,0.232069,0.000000
0.790,0.279529,0.268357,0.232069,0.000000
0.791,0.279529,0.268357,0.232069,0.000000
0.792,0.279529,0.268357,0.232069,0.000000
0.793,0.279529,0.268357,0.232069,0.000000
0.794,0.279529,0.268357,0.232069,0.000000
0.795,0.279529,0.268357,0.232069,0.000000
0.796,0.279529,0.268357,0.232069,0.000000
0.797,0.279529,0.268357,0.232069,0.000000
0.798,0.279529,0.268357,0.232069,0.000000
0.799,0.279529,0.268357,0.232069,0.000000
0.800,0.279529,0.265268,0.232069,0.000000
0.801,0.279529,0.265268,0.232069,0.000000
0.802,0.279529,0.265268,0.232069,0.000000
0.803,0.279529,0.265268,0.232069,0.000000
0.804,0.266643,0.265268,0.232069,0.000000
0.805,0.266643,0.265268,0.232069,0.000000
0.806,0.266643,0.265268,0.232069,0.000000
0.807,0.266643,0.265268,0.232069,0.000000
0.808,0.266643,0.265268,0.232069,0.000000
0.809,0.266643,0.265268,0.232069,0.000000
0.810,0.266643,0.265268,0.232069,0.000000
0.811,0.266643,0.265268,0.232069,0.000000
0.812,0.266643,0.265268,0.232069,0.000000
0.813,0.266643,0.265268,0.232069,0.000000
0.814,0.266643,0.265268,0.232069,0.000000
0.815,0.266643,0.262036,0.232069,0.000000
0.816,0.266643,0.262036,0.232069,0.000000
0.817,0.266643,0.262036,0.232069,0.000000
0.818,0.266643,0.262036,0.232069,0.000000
0.819,0.266643,0.262036,0.232069,0.000000
0.820,0.266643,0.262036,0.232069,0.000000
0.821,0.266643,0.262036,0.232069,0.000000
0.822,0.251707,0.262036,0.232069,0.000000
0.823,0.251707,0.262036,0.232069,0.000000
0.824,0.251707,0.262036,0.232069,0.000000
0.825,0.251707,0.262036,0.232069,0.000000
0.826,0.251707,0.262036,0.232069,0.000000
0.827,0.251707,0.262036,0.232069,0.000000
0.828,0.251707,0.262036,0.232069,0.000000
0.829,0.251707,0.258384,0.232069,0.000000
0.830,0.251707,0.258384,0.232069,0.000000
0.831,0.251707,0.258384,0.232069,0.000000
0.832,0.251707,0.258384,0.232069,0.000000
0.833,0.251707,0.258384,0.232069,0.000000
0.834,0.251707,0.258384,0.232069,0.000000
0.835,0.251707,0.258384,0.232069,0.000000
0.836,0.251707,0.258384,0.232069,0.000000
0.837,0.251707,0.258384,0.232069,0.000000
0.838,0.251707,0.258384,0.232069,0.000000
0.839,0.251707,0.258384,0.232069,0.000000
0.840,0.227321,0.258384,0.232069,0.000000
0.841,0.227321,0.258384,0.232069,0.000000
0.842,0.227321,0.258384,0.232069,0.000000
0.843,0.227321,0.251714,0.232069,0.000000
0.844,0.227321,0.251714,0.232069,0.000000
0.845,0.227321,0.251714,0.232069,0.000000
0.846,0.227321,0.251714,0.232069,0.000000
0.847,0.227321,0.251714,0.232069,0.000000
0.848,0.227321,0.251714,0.232069,0.000000
0.849,0.227321,0.251714,0.232069,0.000000
0.850,0.227321,0.251714,0.232069,0.000000
0.851,0.227321,0.251714,0.232069,0.000000
0.852,0.227321,0.251714,0.232069,0.000000
0.853,0.227321,0.251714,0.232069,0.000000
0.854,0.227321,0.251714,0.232069,0.000000
0.855,0.227321,0.251714,0.232069,0.000000
0.856,0.227321,0.251714,0.232069,0.000000
0.857,0.227321,0.251714,0.232069,0.000000
0.858,0.190829,0.241241,0.232069,0.000000
0.859,0.190829,0.241241,0.232069,0.000000
0.860,0.190829,0.241241,0.232069,0.000000
0.861,0.190829,0.241241,0.232069,0.000000
0.862,0.190829,0.241241,0.232069,0.000000
0.863,0.190829,0.241241,0.232069,0.000000
0.864,0.190829,0.241241,0.232069,0.000000
0.865,0.190829,0.241241,0.232069,0.000000
0.866,0.190829,0.241241,0.232069,0.000000
0.867,0.190829,0.241241,0.232069,0.000000
0.868,0.190829,0.241241,0.232069,0.000000
0.869,0.190829,0.241241,0.232069,0.000000
0.870,0.190829,0.241241,0.232069,0.000000
0.871,0.190829,0.241241,0.232069,0.000000
0.872,0.190829,0.232196,0.232069,0.000000
0.873,0.190829,0.232196,0.232069,0.000000
0.874,0.190829,0.232196,0.232069,0.000000
0.875,0.141143,0.232196,0.232069,0.000000
0.876,0.141143,0.232196,0.232069,0.000000
0.877,0.141143,0.232196,0.232069,0.000000
0.878,0.141143,0.232196,0.232069,0.000000
0.879,0.141143,0.232196,0.232069,0.000000
0.880,0.141143,0.232196,0.232069,0.000000
0.881,0.141143,0.232196,0.232069,0.000000
0.882,0.141143,0.232196,0.232069,0.000000
0.883,0.141143,0.232196,0.232069,0.000000
0.884,0.141143,0.232196,0.232069,0.000000
0.885,0.141143,0.232196,0.232069,0.000000
0.886,0.141143,0.218946,0.232069,0.000000
0.887,0.141143,0.218946,0.232069,0.000000
0.888,0.141143,0.218946,0.232069,0.000000
0.889,0.141143,0.218946,0.232069,0.000000
0.890,0.141143,0.218946,0.232069,0.000000
0.891,0.141143,0.218946,0.232069,0.000000
0.892,0.141143,0.218946,0.232069,0.000000
0.893,0.093100,0.218946,0.232069,0.000000
0.894,0.093100,0.218946,0.232069,0.000000
0.895,0.093100,0.218946,0.232069,0.000000
0.896,0.093100,0.218946,0.232069,0.000000
0.897,0.093100,0.218946,0.232069,0.000000
0.898,0.093100,0.218946,0.232069,0.000000
0.899,0.093100,0.218946,0.232069,0.000000
0.900,0.093100,0.199973,0.232069,0.000000
0.901,0.093100,0.199973,0.232069,0.000000
0.902,0.093100,0.199973,0.232069,0.000000
0.903,0.093100,0.199973,0.232069,0.000000
0.904,0.093100,0.199973,0.232069,0.000000
0.905,0.093100,0.199973,0.232069,0.000000
0.906,0.093100,0.199973,0.232069,0.000000
0.907,0.093100,0.199973,0.232069,0.000000
0.908,0.093100,0.199973,0.232069,0.000000
0.909,0.093100,0.199973,0.232069,0.000000
0.910,0.093100,0.199973,0.232069,0.000000
0.911,0.030836,0.199973,0.232069,0.000000
0.912,0.030836,0.199973,0.232069,0.000000
0.913,0.030836,0.199973,0.232069,0.000000
0.914,0.030836,0.199973,0.232069,0.000000
0.915,0.030836,0.174839,0.232069,0.000000
0.916,0.030836,0.174839,0.232069,0.000000
0.917,0.030836,0.174839,0.232069,0.000000
0.918,0.030836,0.174839,0.232069,0.000000
0.919,0.030836,0.174839,0.232069,0.000000
0.920,0.030836,0.174839,0.232069,0.000000
0.921,0.030836,0.174839,0.232069,0.000000
0.922,0.030836,0.174839,0.232069,0.000000
0.923,0.030836,0.174839,0.232069,0.000000
0.924,0.030836,0.174839,0.232069,0.000000
0.925,0.030836,0.174839,0.232069,0.000000
0.926,0.030836,0.174839,0.232069,0.000000
0.927,0.030836,0.174839,0.232069,0.000000
0.928,0.030836,0.174839,0.232069,0.000000
0.929,0.000000,0.124080,0.232069,0.000000
0.930,0.000000,0.124080,0.232069,0.000000
0.931,0.000000,0.124080,0.232069,0.000000
0.932,0.000000,0.124080,0.232069,0.000000
0.933,0.000000,0.124080,0.232069,0.000000
0.934,0.000000,0.124080,0.232069,0.000000
0.935,0.000000,0.124080,0.232069,0.000000
0.936,0.000000,0.124080,0.232069,0.000000
0.937,0.000000,0.124080,0.232069,0.000000
0.938,0.000000,0.124080,0.232069,0.000000
0.939,0.000000,0.124080,0.232069,0.000000
0.940,0.000000,0.124080,0.232069,0.000000
0.941,0.000000,0.124080,0.232069,0.000000
0.942,0.000000,0.124080,0.232069,0.000000
0.943,0.000000,0.089080,0.232069,0.000000
0.944,0.000000,0.089080,0.232069,0.000000
0.945,0.000000,0.089080,0.232069,0.000000
0.946,0.000000,0.089080,0.232069,0.000000
0.947,0.000000,0.089080,0.232069,0.000000
0.948,0.000000,0.089080,0.232069,0.000000
0.949,0.000000,0.089080,0.232069,0.000000
0.950,0.000000,0.089080,0.232069,0.000000
0.951,0.000000,0.089080,0.232069,0.000000
0.952,0.000000,0.089080,0.232069,0.000000
0.953,0.000000,0.089080,0.232069,0.000000
0.954,0.000000,0.089080,0.232069,0.000000
0.955,0.000000,0.089080,0.232069,0.000000
0.956,0.000000,0.089080,0.232069,0.000000
0.957,0.000000,0.089080,0.232069,0.000000
0.958,0.000000,0.069786,0.232069,0.000000
0.959,0.000000,0.069786,0.232069,0.000000
0.960,0.000000,0.069786,0.232069,0.000000
0.961,0.000000,0.069786,0.232069,0.000000
0.962,0.000000,0.069786,0.232069,0.000000
0.963,0.000000,0.069786,0.232069,0.000000
0.964,0.000000,0.069786,0.232069,0.000000
0.965,0.000000,0.069786,0.232069,0.000000
0.966,0.000000,0.069786,0.232069,0.000000
0.967,0.000000,0.069786,0.232069,0.000000
0.968,0.000000,0.069786,0.232069,0.000000
0.969,0.000000,0.069786,0.232069,0.000000
0.970,0.000000,0.069786,0.232069,0.000000
0.971,0.000000,0.069786,0.232069,0.000000
0.972,0.000000,0.052027,0.232069,0.000000
0.973,0.000000,0.052027,0.232069,0.000000
0.974,0.000000,0.052027,0.232069,0.000000
0.975,0.000000,0.052027,0.232069,0.000000
0.976,0.000000,0.052027,0.232069,0.000000
0.977,0.000000,0.052027,0.232069,0.000000
0.978,0.000000,0.052027,0.232069,0.000000
0.979,0.000000,0.052027,0.232069,0.000000
0.980,0.000000,0.052027,0.232069,0.000000
0.981,0.000000,0.052027,0.232069,0.000000
0.982,0.000000,0.052027,0.232069,0.000000
0.983,0.000000,0.052027,0.232069,0.000000
0.984,0.000000,0.052027,0.232069,0.000000
0.985,0.000000,0.052027,0.232069,0.000000
0.986,0.000000,0.000000,0.232069,0.503482
0.987,0.000000,0.000000,0.232069,0.503482
0.988,0.000000,0.000000,0.232069,0.503482
0.989,0.000000,0.000000,0.232069,0.503482
0.990,0.000000,0.000000,0.232069,0.503482
0.991,0.000000,0.000000,0.232069,0.503482
0.992,0.000000,0.000000,0.232069,0.503482
0.993,0.000000,0.000000,0.232069,0.503482
0.994,0.000000,0.000000,0.232069,0.503482
0.995,0.000000,0.000000,0.232069,0.503482
0.996,0.000000,0.000000,0.232069,0.503482
0.997,0.000000,0.000000,0.232069,0.503482
0.998,0.000000,0.000000,0.232069,0.503482
0.999,0.000000,0.000000,0.232069,0.503482
